clinic,Country,Country Code,Continent,City,Location,Lat,Lng,Languages,Review Score,Total Score,Total Reviews,Source,local_currency
centre-medical-et-esthetique-des-canuts,France,FR,Europe,Lyon,"11 Rue Dumont d'Urville, 69004 Lyon, France",45.77795762,4.836028631,French,4.8,5,564,https://www.google.com/maps/place/Centre+M%C3%A9dical+%26+Esth%C3%A9tique+des+Canuts+-+%C3%89pilation+laser+lyon+-Greffe+de+cheveux/data=!4m2!3m1!1s0x0:0x93736a009be3e2f1?sa=X&ved=1t:2428&ictx=111,EUR
la-greffe-de-cheveux,France,FR,Europe,Paris,"69 Rue de la Tour, 75016 Paris, France",48.86151537,2.278772584,French,4.4,5,28,"https://www.google.com/maps/place/Dr+Pascal+BOUDJEMA+%7C+Greffe+de+cheveux+%C3%A0+Paris+%7C+Technique+FUE+%26+FUT/@48.861346,2.2761655,667m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47e66fff3fe37a95:0x75b5106de13e946b!8m2!3d48.861346!4d2.2787404!16s%2Fg%2F11_q019wf?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
dr-philippe-letertre,France,FR,Europe,Nice,"134 Av. des Arènes de Cimiez, 06000 Nice, France",43.71656541,7.274804355,"French, English, Spanish",4.8,5,262,"https://www.google.com/maps/place/Docteur+Philippe+Letertre+-+chirurgie+esth%C3%A9tique+-+greffe+de+cheveux/@43.7164026,7.272208,733m/data=!3m2!1e3!4b1!4m6!3m5!1s0x12cdd0091e7723f9:0x5133cafbbece4e34!8m2!3d43.7164026!4d7.2747829!16s%2Fg%2F1tqhm7nt?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
anthese-bordeaux,France,FR,Europe,Bordeaux,"9 Rue du Colisée, 33000 Bordeaux",44.84954237,-0.5824513227,"French, English",4.4,5,39,"https://www.google.com/maps/place/Dr+Emma+Lavocat+-+M%C3%A9decine+esth%C3%A9tique,+morphologique+et+anti-%C3%A2ge/@44.84723,-0.582108,11503m/data=!3m1!1e3!4m6!3m5!1s0xd552790eb9b05e7:0x2ee5c62de9e3d357!8m2!3d44.8472299!4d-0.5821083!16s%2Fg%2F11fb0jf9ff?hl=fr&entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
dr.-eric-bouhanna,France,FR,Europe,Paris,"23 Av. Niel, 75017 Paris, France",48.88106656,2.295061458,French,4.3,5,189,"https://www.google.com/maps/place/Dr.+Pierre+Bouhanna/@48.880869,2.29504,667m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47e66f95d55c4be5:0xd7148d847830363a!8m2!3d48.880869!4d2.29504!16s%2Fg%2F12lkjgxh3?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
dr.-eve-youssof,France,FR,Europe,Marseille,"31 Rue Fargès, 13008 Marseille, France",43.28152421,5.383946153,French,4.6,5,55,"https://www.google.com/maps?ll=43.280337,5.383517&z=14&t=m&hl=fr&gl=ES&mapclient=embed&cid=5031162447621359305",EUR
centre-du-champ-de-mars,France,FR,Europe,Paris,"45 Rue de Richelieu, 75001 Paris, France",48.86695908,2.336885332,French,5,5,48,"https://www.google.com/maps/place/Centre+Du+Champ+De+Mars/@48.8663579,2.336716,2668m/data=!3m1!1e3!4m6!3m5!1s0x47e66f24b3f65b8b:0x4405c79a838343ef!8m2!3d48.8663579!4d2.336716!16s%2Fg%2F11v0nr7q92?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
centre-du-champ-de-mars,France,FR,Europe,Paris,"10 Rue du Laos, 75015 Paris, France",48.85020842,2.300907927,French,4.9,5,460,"https://www.google.com/maps/place/Centre+Du+Champ+De+Mars+-+Eiffel/@48.8501237,2.3009723,667m/data=!3m1!1e3!4m6!3m5!1s0x47e671ed80317b51:0x2f6bd476b05518b0!8m2!3d48.8500584!4d2.3009339!16s%2Fg%2F11jr_x_rdr?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
centre-du-champ-de-mars,France,FR,Europe,Paris,"19 Rue La Fayette, 75009 Paris, France",48.87414047,2.336598136,French,4.9,5,111,"https://www.google.com/maps/place/Centre+Du+Champ+De+Mars+-+Op%C3%A9ra/@48.8740699,2.3339803,667m/data=!3m1!1e3!4m6!3m5!1s0x47e66f43a9bc6451:0x3a1a42d8c3a96f6d!8m2!3d48.8740664!4d2.3365552!16s%2Fg%2F11khf62lrd?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
dr.-pierre-bouhanna,France,FR,Europe,Paris,"23 Av. Niel, 75017 Paris, France",48.88098189,2.2950400000000006,French,4.3,5,189,"https://www.google.com/maps/place/Dr.+Pierre+Bouhanna/@48.880869,2.29504,667m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47e66f95d55c4be5:0xd7148d847830363a!8m2!3d48.880869!4d2.29504!16s%2Fg%2F12lkjgxh3?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
clinique-chirurgie-esthetique-bordeaux,France,FR,Europe,Bordeaux,"49 Bd Georges Pompidou, 33000 Bordeaux, France",44.83373572,-0.6020825423,French,4.4,5,650,"https://www.google.com/maps?ll=44.833264,-0.602104&z=16&t=m&hl=en&gl=US&mapclient=embed&cid=4379467568497563388",EUR
hairdoc,Germany,GE,Europe,Düsseldorf,"Königsallee 30, 40212 Düsseldorf, Germany",6.779759387,51.2246205,German,5,5,21,"https://www.google.com/maps/place/Hairdoc+-+Haartransplantation/@51.2244794,6.7797272,635m/data=!3m2!1e3!4b1!4m6!3m5!1s0x4171becb415d7e7d:0xefa3559c87a5b7e0!8m2!3d51.2244794!4d6.7797272!16s%2Fg%2F1thcrf6t?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
ko-hair,Germany,GE,Europe,Düsseldorf,"Kö Galerie, Königsallee 60B, 40212 Düsseldorf, Germany",51.22232667,6.779810458,"German, English",4.8,5,262,https://www.google.com/maps/place/K%C3%96-HAIR+KLINK+GmbH+D%C3%BCsseldorf+Haartransplantation+%7C+Haarpigmentierung+D%C3%BCsseldorf+%7C+PRP+Behandlung+D%C3%BCsseldorf/data=!4m2!3m1!1s0x0:0xc3b9e866c31cbe1b?sa=X&ved=1t:2428&ictx=111,EUR
munich-hairtransplant,Germany,GE,Europe,Munich,"Theatinerstraße 31, 80333 München, Germany",48.14125413,11.57683113,"German, English",4.8,5,13,"https://www.google.com/maps/place/Dr.Sussan+Rosenthal+%2F+Munich+Hair+Transplant/@48.1411181,11.5768204,677m/data=!3m2!1e3!4b1!4m6!3m5!1s0x479e764173b17ff5:0x89120ca12f8d5c0c!8m2!3d48.1411181!4d11.5768204!16s%2Fg%2F11h3bh5jv7?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
darius-alamouti,Germany,GE,Europe,Bochum,"Historischer Nordbahnhof, Ostring 15, 44787 Bochum, Germany",51.48289164,7.225208371,German,4.9,5,72,https://www.google.com/maps/place/Dr.+med.+Darius+Alamouti/data=!4m2!3m1!1s0x0:0x8f3b434c025dc532?sa=X&ved=1t:2428&ictx=111,EUR
kosmed-klinik,Germany,GE,Europe,Hamburg,"Mönckebergstraße 5, 20095 Hamburg, Germany",53.55134855,10.00387092,"German, English",4.3,5,7,https://www.google.com/maps/place/KOSMED-KLINIK+-+Hair+Transplant+Center+-+Haartransplantation/data=!4m2!3m1!1s0x0:0xdee8d834e9b74905?sa=X&ved=1t:2428&ictx=111,EUR
otberg-medical,Germany,GE,Europe,Berlin,"Gartenstraße 2, 10115 Berlin, Germany",52.52912138,13.39387364,"German, English",5,5,9,https://www.google.com/maps/place/Otberg+Medical/data=!4m2!3m1!1s0x0:0xefa30a13b8c81324?sa=X&ved=1t:2428&ictx=111,EUR
focus-hairtrans,Germany,GE,Europe,Coesfeld,"Schüppenstraße 1, 48653 Coesfeld, Germany",51.94624683,7.167648069,"German, Arabic",5,5,1,https://www.google.com/maps/place/Focus+Hairtrans/data=!4m2!3m1!1s0x0:0xaf97e197b6504122?sa=X&ved=1t:2428&ictx=111,EUR
trichomed,Germany,GE,Europe,Berlin,"Bayreuther Str. 36, 10789 Berlin, Germany",52.50179551,13.34419741,"German, English, Russian",5,5,1,"https://www.google.com/maps/place/Haartransplantation+-+Trichomed+Praxis/@52.5011165,13.3338794,4011m/data=!3m1!1e3!4m6!3m5!1s0x47a8505157dbf89f:0xefe8a8ab29098a22!8m2!3d52.5011883!4d13.3437303!16s%2Fg%2F11cn9mvb5m?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
