clinic,Country,Country Code,Continent,City,Location,Lat,Lng,Languages,Review Score,Total Score,Total Reviews,Source,local_currency
advanced-hair-clinics,Greece,GR,Europe,Thessaloniki,"Tsimiski 17, Thessaloniki 546 24, Greece",40.6348214,22.93974982,"English, Greek, German, French, Russian",4.9,5,350,"https://www.google.com/maps/place/Advanced+Hair+Clinics/@40.6347237,22.9375182,17z/data=!3m1!4b1!4m5!3m4!1s0x14a83908384ee553:0x127d8a2b8c987b45!8m2!3d40.6347397!4d22.9397218?shorturl=1",EUR
advanced-hair-clinics,Greece,GR,Europe,Rhodes,"Ethnarchou Makariou 28, Rodos 851 00, Greece",36.44903701,28.22384671,"English, Greek, German, French, Russian",5,5,291,"https://www.google.com/maps/place/Advanced+Hair+Clinics/@36.4488946,28.2216902,17z/data=!3m1!4b1!4m5!3m4!1s0x149561e603082df7:0xb1da6f44f9d192f0!8m2!3d36.4488903!4d28.2238789?shorturl=1",EUR
advanced-hair-clinics,Greece,GR,Europe,Larissa,"Ρούσβελτ 2 &, Kiprou, Larisa 412 22, Greece",39.63893093,22.41748212,"English, Greek, German, French, Russian",4.9,5,111,"https://www.google.com/maps/place/Advanced+Hair+Clinics/@39.6389309,22.4177503,17z/data=!3m1!4b1!4m5!3m4!1s0x13588994b2f77d41:0x3c7787b885bc7c0f!8m2!3d39.6389309!4d22.419939?shorturl=1",EUR
advanced-hair-clinics,Greece,GR,Europe,Ioannina,"Poutetsi 9, Ioannina 453 32, Greece",39.66600868,20.85105551,"English, Greek, German, French, Russian",5,5,193,"https://www.google.com/maps/place/Advanced+Hair+Clinics/@39.6658848,20.8489741,17z/data=!3m1!4b1!4m5!3m4!1s0x135be98a97d56765:0x8942cc8d32e10807!8m2!3d39.6658848!4d20.8511628?shorturl=1",EUR
advanced-hair-clinics,Greece,GR,Europe,Patras,"Riga Fereou 93-97, Patra 262 21, Greece",38.24723687,21.73460818,"English, Greek, German, French, Russian",5,5,256,"https://www.google.com/maps/place/Advanced+Hair+Clinics/@38.2470178,21.7324624,17z/data=!3m1!4b1!4m5!3m4!1s0x135e49dce4da0069:0xd5dde3717a487b29!8m2!3d38.2470178!4d21.7346511?shorturl=1",EUR
advanced-hair-clinics,Greece,GR,Europe,Heraklion,"Λασιθίου 27 &, Pl. Kornarou, Iraklio 712 01, Greece",35.33614567,25.13284749,"English, Greek, German, French, Russian",4.9,5,255,"https://www.google.com/maps/place/Advanced+Hair+Clinics/@35.3362507,25.1328153,17z/data=!4m5!3m4!1s0x149a5b1c4b88d31d:0xe12d8291bf62b0e5!8m2!3d35.3361984!4d25.1328796?shorturl=1",EUR
advanced-hair-clinics,Greece,GR,Europe,Agrinio,"Ilia Ilioi 10, Agrinio 301 31, Greece",38.62504054,21.40791807,"English, Greek, German, French, Russian",5,5,2,"https://www.google.com/maps/place/Advanced+Hair+Clinics/@38.6249651,21.4078537,17z/data=!3m1!4b1!4m6!3m5!1s0x135e8bb826036c33:0x2ee77bba7e45fefc!8m2!3d38.6249651!4d21.4078537!16s%2Fg%2F11rx47srxs?hl=en&entry=tts",EUR
advanced-hair-clinics,Greece,GR,Europe,Kalamata,"Aristomenous 79 - 81, Kalamata 241 00, Greece",37.03567369,22.11091709,"English, Greek, German, French, Russian",5,5,25,"https://www.google.com/maps/place/Advanced+Hair+Clinics/@37.0355024,22.1108849,17z/data=!3m1!4b1!4m6!3m5!1s0x1361b19ed7f72cff:0x1d1c8fc6dc809b61!8m2!3d37.0355024!4d22.1108849!16s%2Fg%2F11sdxjzw3n?entry=ttu&g_ep=EgoyMDI1MDEwOC4wIKXMDSoASAFQAw%3D%3D",EUR
advanced-hair-clinics,Cyprus,CY,Europe,Nicosia,"28th October 1, Egkomi 2414, Cyprus",35.16526487,33.31831619,"English, Greek, German, French, Russian",5,5,321,"https://www.google.com/maps/place/Advanced+Hair+Clinics/@35.165107,33.3160953,17z/data=!3m1!4b1!4m5!3m4!1s0x14de1b01c9771281:0xb251a35678f55665!8m2!3d35.165107!4d33.318284?shorturl=1",EUR
medartclinic,Greece,GR,Europe,Athens,"Leof. Kifisias 118Β, Μενεμένη 115 26, Greece",37.99496547,23.76796613,"English, Greek, Russian",5,5,1,"https://www.google.com/maps/place/medartclinic/@37.9947203,23.7653805,799m/data=!3m2!1e3!4b1!4m15!1m7!3m6!1s0x14a198061906adbb:0x69ecb8f6559c6c30!2smedartclinic!8m2!3d37.9947203!4d23.7679554!16s%2Fg%2F11hbv7z41r!3m6!1s0x14a198061906adbb:0x69ecb8f6559c6c30!8m2!3d37.9947203!4d23.7679554!15sChlodHRwczovL21lZGFydGNsaW5pYy5jb20vkgEbaGFpcl90cmFuc3BsYW50YXRpb25fY2xpbmlj4AEA!16s%2Fg%2F11hbv7z41r?entry=ttu&g_ep=EgoyMDI1MDEwOC4wIKXMDSoASAFQAw%3D%3D",EUR
